All our dreams can come true, if we have the courage to pursue them.;اگر شجاعت دنبال کردن رویاهایمان را داشته باشیم، همه‌ی آن‌ها ما می‌توانند محقق شوند.;Walt Disney
The secret of getting ahead is getting started.;"راز پیشرفت این است که ""شروع"" کنید.";Mark Twain
I’ve missed more than 9,000 shots in my career. I’ve lost almost 300 games. 26 times I’ve been trusted to take the game winning shot and missed. I’ve failed over and over and over again in my life and that is why I succeed.;من در دوران حرفه‌ای خود بیش از 9000 شوت اشتباه داشتم،  تقریباً 300 بازی را از دست دادم. 26 بار به من اعتماد کردند تا شوت نهایی را در بازی را بزنم که موفق نشدم، بارها و بارها در زندگی‌ام شکست خورده‌ام و به همین دلیل است که موفق هستم.;Michael Jordan
Don’t limit yourself. Many people limit themselves to what they think they can do. You can go as far as your mind lets you. What you believe, remember, you can achieve.;خودتان را محدود نکنید، بسیاری از مردم توانایی خود را با  افکار خود محدود می‌کنند. می‌توانید تا جایی که ذهنتان به شما اجازه می‌دهد پیش بروید. به خاطر بسپارید، می‌توانید به آنچه را که باور دارید برسید.;Mary Kay Ash
The best time to plant a tree was 20 years ago. The second best time is now.;بهترین زمان برای کاشت درخت بیست سال پیش بود. بهترین زمان بعدی هم‌اکنون است.;Chinese Proverb
It’s hard to beat a person who never gives up.;شکست دادن کسی که هرگز تسلیم نمی‌شود، کار سختی است.;Babe Ruth
I wake up every morning and think to myself, ‘how far can I push this company in the next 24 hours.’;"من هر روز صبح از خواب بیدار می‌شوم و با خودم فکر می‌کنم: ""در بیست و چهار ساعت آینده تا چه حد می توانم این شرکت را  پیش ببرم.""";Leah Busque
If people are doubting how far you can go, go so far that you can’t hear them anymore.;اگر مردم شک دارند که  شما تا چه حد  می‌توانید پیش بروید، آنقدر پیش بروید که دیگر نتوانید صدای آن‌ها را بشنوید.;Michele Ruiz
Write it. Shoot it. Publish it. Crochet it, sauté it, whatever. MAKE.;بنویسید، شلیک کنید، منتشر کنید، ببافید، بپزید، هر چه که هست فقط انجام دهید. (توضیح مترجم: منظور نویسنده این است که برای زندگی خود کاری بکنید و برای موفقیت به هر نحوی تلاش کنید);Joss Whedon
Smart people learn from everything and everyone, average people from their experiences, stupid people already have all the answers.;افراد باهوش از همه‌چیز و همه‌کس یاد می‌گیرند، افراد متوسط ​​از تجربیات خود استفاده می‌کنند و افراد احمق فکر می‌کنند از قبل همه‌ی پاسخ‌ها را دارند.;Socrates
Do what you feel in your heart to be right;کاری را که در قلب خود احساس می‌کنید درست است، انجام دهید.;for you’ll be criticized anyway.”―
The same boiling water that softens the potato hardens the egg. It’s what you’re made of. Not the circumstances.;همان آب جوشی که سیب‌زمینی را نرم می‌کند، تخم مرغ را سخت می‌کند. شما ساخته‌ی شرایط نیستید بلکه این چیزی است که شما از آن ساخته شده‌اید.;Unknown
If we have the attitude that it’s going to be a great day it usually is.;اگر این نگرش را داشته باشیم که امروز روز خوبی خواهد بود، معمولاً همین اتفاق می‌افتد.;Catherine Pulsifier
You can either experience the pain of discipline or the pain of regret. The choice is yours.;شما می‌توانید سختی داشتن نظم و انضباط و یا سختی پشیمانی را تجربه کنید،  انتخاب با شما است.;Unknown
Impossible is just an opinion.;غیرممکن بودن فقط یک نظر است.;Paulo Coelho
Your passion is waiting for your courage to catch up.;اشتیاق شما منتظر است تا جسارت شما به آن برسد.;Isabelle Lafleche
Magic is believing in yourself. If you can make that happen, you can make anything happen.;سحر و جادو  چیزی جز این نیست که به خودت ایمان داشته باشید، اگر بتوانید به خود ایمان داشته باشید، می‌توانید هر چیزی را انجام دهید.;Johann Wolfgang Von Goethe
If something is important enough, even if the odds are stacked against you, you should still do it.;اگر چیزی تا حد زیادی برای شما مهم است، حتی اگر احتمال موفقیت در آن ناچیز باشد، باز هم باید آن را انجام دهید.;Elon Musk
Hold the vision, trust the process.;دیدگاه خود را حفظ کنید و به فرایندها اعتماد داشته باشید.;Unknown
Don’t be afraid to give up the good to go for the great.;از رها کردن چیزهای خوب برای رفتن به سمت چیزهای عالی نترسید.;John D. Rockefeller
People who wonder if the glass is half empty or full miss the point. The glass is refillable.;افرادی که برایشان سوال است که نیمه‌ی لیوان، خالی است یا پر، متوجه این نکته نیستند که لیوان را می‌توان دوباره پر کرد.;Unknown
Just another Magic Monday;فقط یک شنبه‌ی جادویی دیگر...! (توضیح مترجم: نویسنده‌ی اصلی به روز دوشنبه اشاره کرده است ولی من در اینجا روز شنبه را  ذکر کردم، چرا که دوشنبه روز اول هفته‌ی آن‌ها است ولی در کشور ما روز اول هفته، شنبه است);Unknown
One day or day one. You decide.;یک روزی؟ یا روز اول؟ تصمیم با خودتان است.;Unknown
It’s Monday… time to motivate and make dreams and goals happen. Let’s go!;امروز شنبه  است... زمان ایجاد انگیزه و تحقق رویاها و اهداف، بزن بریم! (توضیح مترجم: نویسنده‌ی اصلی به روز دوشنبه اشاره کرده است ولی من در اینجا روز شنبه را  ذکر کردم، چرا که دوشنبه روز اول هفته‌ی آن‌ها است ولی در کشور ما روز اول هفته، شنبه است);Heather Stillufsen
